r,L,M,S
457,0.0583973,0.104229,0.825572
457.1,0.0585713,0.10457,0.824022
457.2,0.0587475,0.104914,0.822489
457.3,0.058926,0.105263,0.820975
457.4,0.0591067,0.105615,0.819477
457.5,0.0592898,0.105972,0.817997
457.6,0.0594752,0.106332,0.816535
457.7,0.059663,0.106696,0.81509
457.8,0.0598532,0.107065,0.813663
457.9,0.0600458,0.107437,0.812253
458,0.0602409,0.107814,0.81086
458.1,0.0604385,0.108195,0.809486
458.2,0.0606386,0.10858,0.808128
458.3,0.0608413,0.10897,0.806789
458.4,0.0610466,0.109363,0.805466
458.5,0.0612546,0.109761,0.804162
458.6,0.0614652,0.110163,0.802874
458.7,0.0616786,0.11057,0.801605
458.8,0.0618947,0.110981,0.800353
458.9,0.0621135,0.111397,0.799118
459,0.0623353,0.111817,0.797902
459.1,0.0625598,0.112241,0.796702
459.2,0.0627873,0.11267,0.795521
459.3,0.0630177,0.113104,0.794357
459.4,0.0632511,0.113542,0.793211
459.5,0.0634875,0.113985,0.792082
459.6,0.063727,0.114433,0.790971
459.7,0.0639696,0.114886,0.789878
459.8,0.0642153,0.115343,0.788802
459.9,0.0644643,0.115805,0.787744
460,0.0647164,0.116272,0.786704
460.1,0.0649719,0.116744,0.785681
460.2,0.0652305,0.117221,0.784676
460.3,0.0654924,0.117702,0.783686
460.4,0.0657575,0.118189,0.78271
460.5,0.0660257,0.11868,0.781749
460.6,0.0662971,0.119176,0.780801
460.7,0.0665715,0.119676,0.779865
460.8,0.066849,0.120181,0.77894
460.9,0.0671296,0.12069,0.778025
461,0.0674131,0.121204,0.777119
461.1,0.0676995,0.121723,0.776221
461.2,0.0679889,0.122245,0.775331
461.3,0.0682811,0.122772,0.774447
461.4,0.0685762,0.123303,0.773569
461.5,0.0688741,0.123838,0.772695
461.6,0.0691747,0.124377,0.771825
461.7,0.0694781,0.12492,0.770958
461.8,0.0697841,0.125467,0.770093
461.9,0.0700928,0.126018,0.769229
462,0.070404,0.126573,0.768365
462.1,0.0707178,0.127131,0.7675
462.2,0.0710341,0.127693,0.766633
462.3,0.0713529,0.128259,0.765764
462.4,0.0716741,0.128828,0.764892
462.5,0.0719976,0.1294,0.764015
462.6,0.0723234,0.129976,0.763133
462.7,0.0726515,0.130555,0.762246
462.8,0.0729818,0.131137,0.761351
462.9,0.0733143,0.131722,0.760449
463,0.0736489,0.132311,0.759538
463.1,0.0739855,0.132902,0.758618
463.2,0.0743241,0.133495,0.757687
463.3,0.0746647,0.134092,0.756746
463.4,0.0750071,0.134691,0.755793
463.5,0.0753514,0.135292,0.754827
463.6,0.0756974,0.135896,0.753847
463.7,0.0760451,0.136502,0.752853
463.8,0.0763945,0.137111,0.751844
463.9,0.0767454,0.137721,0.750819
464,0.0770978,0.138334,0.749777
464.1,0.0774517,0.138948,0.748718
464.2,0.0778069,0.139564,0.74764
464.3,0.0781634,0.140181,0.746544
464.4,0.0785212,0.140801,0.745427
464.5,0.0788801,0.141421,0.74429
464.6,0.0792401,0.142043,0.743131
464.7,0.0796011,0.142666,0.74195
464.8,0.079963,0.14329,0.740747
464.9,0.0803258,0.143915,0.739519
465,0.0806894,0.144541,0.738268
465.1,0.0810536,0.145167,0.736991
465.2,0.0814186,0.145794,0.735689
465.3,0.0817842,0.146421,0.734363
465.4,0.0821505,0.14705,0.733012
465.5,0.0825174,0.147678,0.731636
465.6,0.082885,0.148307,0.730235
465.7,0.0832532,0.148937,0.72881
465.8,0.083622,0.149567,0.727361
465.9,0.0839913,0.150197,0.725887
466,0.0843613,0.150828,0.724389
466.1,0.0847319,0.151459,0.722868
466.2,0.085103,0.15209,0.721322
466.3,0.0854747,0.152722,0.719753
466.4,0.0858468,0.153353,0.71816
466.5,0.0862196,0.153985,0.716543
466.6,0.0865928,0.154617,0.714903
466.7,0.0869665,0.155249,0.71324
466.8,0.0873407,0.155881,0.711554
466.9,0.0877153,0.156514,0.709845
467,0.0880904,0.157146,0.708113
467.1,0.088466,0.157778,0.706358
467.2,0.0888419,0.15841,0.704581
467.3,0.0892183,0.159042,0.702781
467.4,0.0895951,0.159673,0.70096
467.5,0.0899722,0.160305,0.699116
467.6,0.0903497,0.160936,0.69725
467.7,0.0907275,0.161567,0.695363
467.8,0.0911057,0.162197,0.693454
467.9,0.0914842,0.162827,0.691523
468,0.091863,0.163457,0.689572
468.1,0.0922421,0.164086,0.687599
468.2,0.0926214,0.164715,0.685606
468.3,0.093001,0.165343,0.683591
468.4,0.0933808,0.165971,0.681557
468.5,0.0937608,0.166598,0.679501
468.6,0.0941411,0.167224,0.677426
468.7,0.0945215,0.167849,0.675331
468.8,0.0949021,0.168474,0.673216
468.9,0.0952828,0.169098,0.671081
469,0.0956637,0.169721,0.668927
469.1,0.0960446,0.170343,0.666753
469.2,0.0964257,0.170964,0.664561
469.3,0.0968069,0.171584,0.662349
469.4,0.0971881,0.172203,0.660119
469.5,0.0975693,0.172821,0.657871
469.6,0.0979506,0.173438,0.655604
469.7,0.0983319,0.174054,0.65332
469.8,0.0987131,0.174668,0.651017
469.9,0.0990944,0.175281,0.648697
470,0.0994755,0.175893,0.646359
470.1,0.0998566,0.176503,0.644004
470.2,0.100238,0.177112,0.641633
470.3,0.100619,0.17772,0.639245
470.4,0.101,0.178326,0.636841
470.5,0.101381,0.178931,0.634422
470.6,0.101762,0.179535,0.631988
470.7,0.102143,0.180137,0.62954
470.8,0.102524,0.180739,0.627078
470.9,0.102905,0.181339,0.624601
471,0.103286,0.181938,0.622112
471.1,0.103667,0.182536,0.61961
471.2,0.104048,0.183132,0.617096
471.3,0.104429,0.183728,0.61457
471.4,0.104811,0.184323,0.612032
471.5,0.105193,0.184917,0.609484
471.6,0.105574,0.185509,0.606925
471.7,0.105956,0.186101,0.604355
471.8,0.106338,0.186692,0.601776
471.9,0.106721,0.187283,0.599188
472,0.107103,0.187872,0.596591
472.1,0.107486,0.188461,0.593985
472.2,0.10787,0.189049,0.591371
472.3,0.108253,0.189636,0.58875
472.4,0.108637,0.190222,0.586121
472.5,0.109021,0.190808,0.583485
472.6,0.109405,0.191394,0.580843
472.7,0.10979,0.191979,0.578194
472.8,0.110175,0.192563,0.57554
472.9,0.110561,0.193147,0.57288
473,0.110947,0.193731,0.570216
473.1,0.111334,0.194314,0.567546
473.2,0.111721,0.194897,0.564873
473.3,0.112108,0.19548,0.562195
473.4,0.112497,0.196063,0.559514
473.5,0.112885,0.196645,0.55683
473.6,0.113275,0.197227,0.554143
473.7,0.113665,0.19781,0.551453
473.8,0.114055,0.198392,0.548762
473.9,0.114446,0.198974,0.546068
474,0.114838,0.199557,0.543373
474.1,0.115231,0.200139,0.540677
474.2,0.115624,0.200722,0.53798
474.3,0.116019,0.201305,0.535282
474.4,0.116414,0.201888,0.532584
474.5,0.116809,0.202472,0.529887
474.6,0.117206,0.203056,0.527189
474.7,0.117604,0.203641,0.524493
474.8,0.118002,0.204226,0.521797
474.9,0.118402,0.204812,0.519103
475,0.118802,0.205398,0.516411
475.1,0.119204,0.205985,0.51372
475.2,0.119606,0.206573,0.511032
475.3,0.12001,0.207162,0.508346
475.4,0.120414,0.207751,0.505663
475.5,0.12082,0.208341,0.502983
475.6,0.121226,0.208932,0.500308
475.7,0.121634,0.209523,0.497636
475.8,0.122042,0.210115,0.494968
475.9,0.122452,0.210708,0.492305
476,0.122863,0.211302,0.489647
476.1,0.123274,0.211897,0.486995
476.2,0.123687,0.212492,0.484348
476.3,0.124101,0.213088,0.481706
476.4,0.124515,0.213685,0.479071
476.5,0.124931,0.214283,0.476443
476.6,0.125348,0.214881,0.473821
476.7,0.125766,0.21548,0.471206
476.8,0.126185,0.21608,0.468598
476.9,0.126605,0.216681,0.465998
477,0.127026,0.217283,0.463406
477.1,0.127448,0.217886,0.460822
477.2,0.127871,0.218489,0.458246
477.3,0.128295,0.219093,0.455678
477.4,0.12872,0.219698,0.45312
477.5,0.129146,0.220304,0.45057
477.6,0.129574,0.220911,0.44803
477.7,0.130002,0.221519,0.445499
477.8,0.130431,0.222127,0.442978
477.9,0.130862,0.222737,0.440466
478,0.131293,0.223347,0.437965
478.1,0.131726,0.223958,0.435474
478.2,0.132159,0.22457,0.432994
478.3,0.132594,0.225183,0.430524
478.4,0.133029,0.225797,0.428065
478.5,0.133466,0.226412,0.425617
478.6,0.133904,0.227028,0.42318
478.7,0.134343,0.227645,0.420755
478.8,0.134783,0.228263,0.418342
478.9,0.135224,0.228882,0.41594
479,0.135666,0.229501,0.413549
479.1,0.136109,0.230122,0.411171
479.2,0.136553,0.230744,0.408806
479.3,0.136998,0.231366,0.406452
479.4,0.137445,0.23199,0.404111
479.5,0.137892,0.232615,0.401782
479.6,0.13834,0.233241,0.399467
479.7,0.13879,0.233867,0.397164
479.8,0.139241,0.234495,0.394874
479.9,0.139692,0.235124,0.392597
480,0.140145,0.235754,0.390333
480.1,0.140599,0.236385,0.388083
480.2,0.141054,0.237017,0.385846
480.3,0.14151,0.23765,0.383621
480.4,0.141967,0.238284,0.38141
480.5,0.142425,0.238919,0.37921
480.6,0.142884,0.239555,0.377023
480.7,0.143344,0.240192,0.374848
480.8,0.143805,0.24083,0.372685
480.9,0.144268,0.241469,0.370534
481,0.144731,0.242108,0.368394
481.1,0.145195,0.242749,0.366265
481.2,0.14566,0.24339,0.364147
481.3,0.146126,0.244032,0.36204
481.4,0.146593,0.244675,0.359944
481.5,0.147061,0.245318,0.357858
481.6,0.14753,0.245962,0.355783
481.7,0.148,0.246607,0.353718
481.8,0.148471,0.247253,0.351663
481.9,0.148943,0.247899,0.349617
482,0.149415,0.248545,0.347582
482.1,0.149889,0.249192,0.345556
482.2,0.150363,0.24984,0.343539
482.3,0.150839,0.250488,0.341531
482.4,0.151315,0.251137,0.339533
482.5,0.151792,0.251786,0.337543
482.6,0.152269,0.252436,0.335562
482.7,0.152748,0.253086,0.33359
482.8,0.153227,0.253736,0.331626
482.9,0.153708,0.254386,0.329671
483,0.154189,0.255037,0.327724
483.1,0.15467,0.255688,0.325785
483.2,0.155153,0.25634,0.323854
483.3,0.155636,0.256991,0.32193
483.4,0.15612,0.257643,0.320015
483.5,0.156605,0.258294,0.318107
483.6,0.15709,0.258946,0.316206
483.7,0.157576,0.259598,0.314313
483.8,0.158063,0.26025,0.312427
483.9,0.15855,0.260902,0.310548
484,0.159038,0.261554,0.308676
484.1,0.159527,0.262206,0.306811
484.2,0.160016,0.262858,0.304953
484.3,0.160506,0.263509,0.303102
484.4,0.160997,0.26416,0.301257
484.5,0.161488,0.264812,0.299419
484.6,0.16198,0.265463,0.297587
484.7,0.162472,0.266113,0.295762
484.8,0.162965,0.266764,0.293942
484.9,0.163458,0.267413,0.292129
485,0.163952,0.268063,0.290322
485.1,0.164446,0.268712,0.288521
485.2,0.164941,0.269361,0.286727
485.3,0.165436,0.27001,0.284939
485.4,0.165933,0.270659,0.283157
485.5,0.16643,0.271308,0.281383
485.6,0.166928,0.271957,0.279616
485.7,0.167427,0.272607,0.277857
485.8,0.167928,0.273258,0.276105
485.9,0.168429,0.273909,0.274362
486,0.168932,0.274561,0.272626
486.1,0.169437,0.275215,0.2709
486.2,0.169943,0.27587,0.269181
486.3,0.170451,0.276527,0.267472
486.4,0.170961,0.277185,0.265772
486.5,0.171472,0.277845,0.264081
486.6,0.171986,0.278507,0.262399
486.7,0.172502,0.279172,0.260728
486.8,0.17302,0.279838,0.259066
486.9,0.17354,0.280508,0.257414
487,0.174063,0.28118,0.255772
487.1,0.174589,0.281855,0.25414
487.2,0.175117,0.282534,0.252519
487.3,0.175648,0.283215,0.250909
487.4,0.176183,0.283901,0.249309
487.5,0.17672,0.284589,0.24772
487.6,0.17726,0.285282,0.246143
487.7,0.177804,0.285979,0.244576
487.8,0.178352,0.286681,0.243021
487.9,0.178903,0.287387,0.241477
488,0.179457,0.288097,0.239945
488.1,0.180016,0.288813,0.238425
488.2,0.180579,0.289533,0.236916
488.3,0.181145,0.290259,0.235419
488.4,0.181716,0.290991,0.233934
488.5,0.182292,0.291728,0.232461
488.6,0.182872,0.292471,0.231
488.7,0.183457,0.293221,0.229552
488.8,0.184046,0.293977,0.228115
488.9,0.184641,0.294739,0.226692
489,0.185241,0.295508,0.22528
489.1,0.185846,0.296285,0.223881
489.2,0.186457,0.297069,0.222495
489.3,0.187073,0.29786,0.221122
489.4,0.187695,0.298659,0.219761
489.5,0.188322,0.299466,0.218413
489.6,0.188956,0.300281,0.217078
489.7,0.189597,0.301105,0.215756
489.8,0.190243,0.301937,0.214446
489.9,0.190896,0.302779,0.21315
490,0.191556,0.30363,0.211867
490.1,0.192223,0.30449,0.210597
490.2,0.192897,0.305359,0.209339
490.3,0.193577,0.306238,0.208095
490.4,0.194265,0.307127,0.206863
490.5,0.194959,0.308024,0.205643
490.6,0.19566,0.308931,0.204435
490.7,0.196368,0.309847,0.203238
490.8,0.197083,0.310772,0.202054
490.9,0.197804,0.311706,0.200881
491,0.198532,0.312649,0.199719
491.1,0.199267,0.313601,0.198568
491.2,0.200009,0.314562,0.197427
491.3,0.200757,0.315532,0.196298
491.4,0.201513,0.316511,0.195179
491.5,0.202274,0.317498,0.19407
491.6,0.203043,0.318495,0.192971
491.7,0.203818,0.319499,0.191883
491.8,0.204599,0.320513,0.190804
491.9,0.205388,0.321535,0.189734
492,0.206182,0.322565,0.188674
492.1,0.206984,0.323604,0.187623
492.2,0.207792,0.324651,0.186582
492.3,0.208606,0.325706,0.185549
492.4,0.209427,0.32677,0.184525
492.5,0.210254,0.327841,0.183509
492.6,0.211087,0.328921,0.182503
492.7,0.211927,0.330009,0.181504
492.8,0.212773,0.331104,0.180514
492.9,0.213626,0.332208,0.179531
493,0.214485,0.333319,0.178557
493.1,0.21535,0.334438,0.17759
493.2,0.216221,0.335565,0.176631
493.3,0.217099,0.336699,0.175679
493.4,0.217982,0.337841,0.174735
493.5,0.218872,0.33899,0.173798
493.6,0.219768,0.340147,0.172868
493.7,0.22067,0.34131,0.171945
493.8,0.221578,0.342481,0.171029
493.9,0.222492,0.343659,0.17012
494,0.223411,0.344844,0.169217
494.1,0.224337,0.346036,0.16832
494.2,0.225269,0.347235,0.16743
494.3,0.226206,0.348441,0.166547
494.4,0.227149,0.349653,0.165669
494.5,0.228098,0.350872,0.164797
494.6,0.229052,0.352097,0.163932
494.7,0.230012,0.353328,0.163072
494.8,0.230978,0.354566,0.162218
494.9,0.231949,0.35581,0.161369
495,0.232926,0.357061,0.160526
495.1,0.233908,0.358317,0.159688
495.2,0.234895,0.359579,0.158856
495.3,0.235888,0.360847,0.158028
495.4,0.236886,0.362121,0.157206
495.5,0.23789,0.363402,0.156388
495.6,0.2389,0.364688,0.155575
495.7,0.239914,0.365981,0.154767
495.8,0.240935,0.367279,0.153963
495.9,0.241961,0.368584,0.153164
496,0.242992,0.369895,0.152368
496.1,0.244029,0.371213,0.151577
496.2,0.245072,0.372537,0.15079
496.3,0.24612,0.373867,0.150006
496.4,0.247174,0.375203,0.149227
496.5,0.248233,0.376545,0.14845
496.6,0.249298,0.377895,0.147678
496.7,0.250369,0.37925,0.146909
496.8,0.251446,0.380612,0.146143
496.9,0.252528,0.38198,0.14538
497,0.253616,0.383355,0.14462
497.1,0.254709,0.384736,0.143864
497.2,0.255808,0.386124,0.14311
497.3,0.256913,0.387519,0.142359
497.4,0.258024,0.38892,0.141611
497.5,0.25914,0.390328,0.140865
497.6,0.260263,0.391742,0.140122
497.7,0.261391,0.393163,0.139382
497.8,0.262525,0.394591,0.138643
497.9,0.263664,0.396026,0.137907
498,0.26481,0.397467,0.137173
498.1,0.265961,0.398915,0.136441
498.2,0.267118,0.40037,0.135712
498.3,0.268281,0.401832,0.134984
498.4,0.26945,0.403301,0.134258
498.5,0.270625,0.404777,0.133533
498.6,0.271805,0.406259,0.132811
498.7,0.272992,0.407749,0.13209
498.8,0.274184,0.409246,0.131371
498.9,0.275383,0.410749,0.130653
499,0.276587,0.41226,0.129937
499.1,0.277798,0.413778,0.129222
499.2,0.279014,0.415303,0.128508
499.3,0.280236,0.416835,0.127796
499.4,0.281464,0.418375,0.127084
499.5,0.282698,0.419922,0.126374
499.6,0.283939,0.421475,0.125665
499.7,0.285185,0.423037,0.124957
499.8,0.286437,0.424605,0.12425
499.9,0.287695,0.426181,0.123544
500,0.288959,0.427764,0.122839
500.1,0.29023,0.429355,0.122135
500.2,0.291506,0.430953,0.121431
500.3,0.292788,0.432559,0.120728
500.4,0.294077,0.434172,0.120026
500.5,0.295371,0.435792,0.119325
500.6,0.296672,0.437419,0.118625
500.7,0.297978,0.439054,0.117926
500.8,0.299291,0.440696,0.117228
500.9,0.300609,0.442345,0.11653
501,0.301934,0.444001,0.115834
501.1,0.303264,0.445664,0.115138
501.2,0.304601,0.447334,0.114443
501.3,0.305943,0.449012,0.11375
501.4,0.307292,0.450696,0.113057
501.5,0.308646,0.452387,0.112365
501.6,0.310007,0.454086,0.111675
501.7,0.311373,0.455791,0.110985
501.8,0.312745,0.457503,0.110296
501.9,0.314124,0.459221,0.109609
502,0.315508,0.460947,0.108922
502.1,0.316898,0.462679,0.108237
502.2,0.318294,0.464418,0.107552
502.3,0.319696,0.466163,0.106869
502.4,0.321104,0.467915,0.106187
502.5,0.322517,0.469674,0.105506
502.6,0.323937,0.471439,0.104826
502.7,0.325362,0.47321,0.104147
502.8,0.326793,0.474988,0.10347
502.9,0.32823,0.476772,0.102793
503,0.329673,0.478562,0.102118
503.1,0.331122,0.480358,0.101444
503.2,0.332576,0.482161,0.100772
503.3,0.334036,0.483969,0.1001
503.4,0.335502,0.485784,0.0994302
503.5,0.336973,0.487605,0.0987614
503.6,0.338451,0.489431,0.0980939
503.7,0.339933,0.491264,0.0974278
503.8,0.341422,0.493102,0.096763
503.9,0.342916,0.494946,0.0960995
504,0.344416,0.496795,0.0954374
504.1,0.345921,0.498651,0.0947768
504.2,0.347432,0.500511,0.0941175
504.3,0.348949,0.502377,0.0934597
504.4,0.35047,0.504249,0.0928033
504.5,0.351998,0.506126,0.0921484
504.6,0.353531,0.508008,0.091495
504.7,0.355069,0.509895,0.0908431
504.8,0.356613,0.511787,0.0901927
504.9,0.358162,0.513685,0.0895438
505,0.359716,0.515587,0.0888965
505.1,0.361276,0.517494,0.0882508
505.2,0.362841,0.519406,0.0876069
505.3,0.364412,0.521323,0.0869648
505.4,0.365987,0.523244,0.0863247
505.5,0.367568,0.52517,0.0856868
505.6,0.369154,0.527101,0.0850512
505.7,0.370746,0.529036,0.084418
505.8,0.372342,0.530975,0.0837874
505.9,0.373944,0.532919,0.0831595
506,0.37555,0.534868,0.0825343
506.1,0.377162,0.53682,0.0819121
506.2,0.378779,0.538777,0.0812929
506.3,0.380401,0.540738,0.0806769
506.4,0.382028,0.542703,0.0800641
506.5,0.38366,0.544672,0.0794547
506.6,0.385297,0.546645,0.0788487
506.7,0.386939,0.548622,0.0782463
506.8,0.388586,0.550602,0.0776476
506.9,0.390238,0.552587,0.0770525
507,0.391895,0.554575,0.0764613
507.1,0.393556,0.556566,0.0758741
507.2,0.395222,0.558561,0.0752908
507.3,0.396893,0.56056,0.0747115
507.4,0.398569,0.562562,0.0741365
507.5,0.40025,0.564567,0.0735656
507.6,0.401935,0.566575,0.072999
507.7,0.403625,0.568587,0.0724368
507.8,0.405319,0.570602,0.071879
507.9,0.407018,0.572619,0.0713257
508,0.408722,0.57464,0.0707769
508.1,0.41043,0.576663,0.0702326
508.2,0.412142,0.578689,0.0696931
508.3,0.413859,0.580717,0.0691582
508.4,0.41558,0.582749,0.068628
508.5,0.417306,0.584782,0.0681027
508.6,0.419036,0.586818,0.0675822
508.7,0.42077,0.588857,0.0670665
508.8,0.422508,0.590897,0.0665558
508.9,0.424251,0.59294,0.0660499
509,0.425998,0.594984,0.0655491
509.1,0.427748,0.597031,0.0650533
509.2,0.429503,0.599079,0.0645625
509.3,0.431262,0.601129,0.0640768
509.4,0.433025,0.603181,0.0635962
509.5,0.434792,0.605234,0.0631208
509.6,0.436563,0.607289,0.0626504
509.7,0.438337,0.609345,0.0621853
509.8,0.440115,0.611402,0.0617253
509.9,0.441897,0.613461,0.0612705
510,0.443683,0.61552,0.060821
510.1,0.445472,0.617581,0.0603766
510.2,0.447265,0.619642,0.0599374
510.3,0.449061,0.621704,0.0595031
510.4,0.450861,0.623767,0.0590737
510.5,0.452665,0.625831,0.058649
510.6,0.454471,0.627896,0.0582289
510.7,0.456281,0.629961,0.0578132
510.8,0.458095,0.632027,0.0574019
510.9,0.459911,0.634094,0.0569948
511,0.461731,0.636162,0.0565919
511.1,0.463554,0.63823,0.056193
511.2,0.46538,0.640299,0.0557979
511.3,0.467209,0.642369,0.0554067
511.4,0.469041,0.644439,0.0550192
511.5,0.470876,0.64651,0.0546352
511.6,0.472714,0.648581,0.0542547
511.7,0.474555,0.650653,0.0538777
511.8,0.476399,0.652726,0.0535039
511.9,0.478245,0.654798,0.0531333
512,0.480094,0.656872,0.0527659
512.1,0.481945,0.658945,0.0524015
512.2,0.483799,0.661019,0.05204
512.3,0.485656,0.663094,0.0516814
512.4,0.487515,0.665169,0.0513255
512.5,0.489376,0.667244,0.0509723
512.6,0.49124,0.669319,0.0506217
512.7,0.493106,0.671395,0.0502737
512.8,0.494974,0.673471,0.0499281
512.9,0.496844,0.675547,0.0495849
513,0.498717,0.677624,0.049244
513.1,0.500591,0.6797,0.0489053
513.2,0.502467,0.681777,0.0485688
513.3,0.504346,0.683854,0.0482344
513.4,0.506225,0.685931,0.0479021
513.5,0.508107,0.688008,0.0475717
513.6,0.509991,0.690085,0.0472432
513.7,0.511875,0.692162,0.0469165
513.8,0.513762,0.694239,0.0465917
513.9,0.51565,0.696316,0.0462685
514,0.517539,0.698393,0.045947
514.1,0.51943,0.70047,0.0456271
514.2,0.521322,0.702546,0.0453088
514.3,0.523215,0.704623,0.044992
514.4,0.525109,0.7067,0.0446767
514.5,0.527005,0.708776,0.0443627
514.6,0.528901,0.710852,0.0440501
514.7,0.530798,0.712928,0.0437388
514.8,0.532696,0.715004,0.0434288
514.9,0.534594,0.717079,0.0431199
515,0.536494,0.719154,0.0428123
515.1,0.538394,0.721229,0.0425058
515.2,0.540294,0.723303,0.0422004
515.3,0.542195,0.725376,0.0418962
515.4,0.544095,0.727448,0.0415932
515.5,0.545996,0.729519,0.0412914
515.6,0.547896,0.731589,0.0409909
515.7,0.549796,0.733656,0.0406916
515.8,0.551696,0.735721,0.0403935
515.9,0.553595,0.737784,0.0400968
516,0.555493,0.739844,0.0398014
516.1,0.55739,0.741901,0.0395073
516.2,0.559285,0.743955,0.0392145
516.3,0.56118,0.746006,0.0389231
516.4,0.563072,0.748052,0.0386331
516.5,0.564963,0.750095,0.0383445
516.6,0.566852,0.752133,0.0380573
516.7,0.568739,0.754166,0.0377715
516.8,0.570624,0.756195,0.0374871
516.9,0.572506,0.758218,0.0372042
517,0.574386,0.760235,0.0369227
517.1,0.576263,0.762247,0.0366427
517.2,0.578137,0.764253,0.0363642
517.3,0.580007,0.766252,0.0360872
517.4,0.581874,0.768244,0.0358117
517.5,0.583738,0.77023,0.0355377
517.6,0.585598,0.772207,0.0352653
517.7,0.587454,0.774178,0.0349943
517.8,0.589305,0.77614,0.034725
517.9,0.591152,0.778094,0.0344571
518,0.592995,0.780039,0.0341909
518.1,0.594833,0.781975,0.0339262
518.2,0.596666,0.783902,0.0336631
518.3,0.598493,0.785819,0.0334016
518.4,0.600316,0.787726,0.0331416
518.5,0.602132,0.789623,0.0328833
518.6,0.603943,0.791509,0.0326266
518.7,0.605748,0.793384,0.0323715
518.8,0.607546,0.795248,0.032118
518.9,0.609338,0.797101,0.0318661
519,0.611124,0.798941,0.0316158
519.1,0.612902,0.800769,0.0313672
519.2,0.614673,0.802584,0.0311202
519.3,0.616437,0.804387,0.0308748
519.4,0.618194,0.806176,0.0306311
519.5,0.619942,0.807951,0.030389
519.6,0.621683,0.809712,0.0301486
519.7,0.623415,0.811459,0.0299098
519.8,0.625139,0.813191,0.0296726
519.9,0.626855,0.814908,0.0294371
520,0.628561,0.81661,0.0292033
520.1,0.630258,0.818295,0.0289711
520.2,0.631947,0.819965,0.0287405
520.3,0.633626,0.82162,0.0285116
520.4,0.635296,0.823259,0.0282842
520.5,0.636958,0.824883,0.0280585
520.6,0.638611,0.826493,0.0278344
520.7,0.640255,0.828087,0.0276118
520.8,0.641891,0.829667,0.0273909
520.9,0.643519,0.831232,0.0271714
521,0.645139,0.832783,0.0269536
521.1,0.64675,0.83432,0.0267372
521.2,0.648353,0.835843,0.0265224
521.3,0.649949,0.837352,0.0263091
521.4,0.651537,0.838848,0.0260973
521.5,0.653117,0.84033,0.025887
521.6,0.654689,0.8418,0.0256782
521.7,0.656255,0.843256,0.0254708
521.8,0.657813,0.8447,0.025265
521.9,0.659363,0.846131,0.0250605
522,0.660907,0.84755,0.0248575
522.1,0.662444,0.848957,0.024656
522.2,0.663975,0.850352,0.0244558
522.3,0.665499,0.851736,0.0242571
522.4,0.667016,0.853108,0.0240598
522.5,0.668527,0.854469,0.0238638
522.6,0.670032,0.855819,0.0236693
522.7,0.671531,0.857158,0.0234761
522.8,0.673024,0.858487,0.0232843
522.9,0.674511,0.859805,0.0230938
523,0.675993,0.861113,0.0229047
523.1,0.67747,0.862412,0.0227169
523.2,0.678941,0.863701,0.0225304
523.3,0.680407,0.864981,0.0223453
523.4,0.681869,0.866251,0.0221615
523.5,0.683325,0.867513,0.0219789
523.6,0.684777,0.868766,0.0217977
523.7,0.686225,0.870011,0.0216178
523.8,0.687668,0.871248,0.0214391
523.9,0.689107,0.872477,0.0212617
524,0.690542,0.873698,0.0210855
524.1,0.691974,0.874912,0.0209106
524.2,0.693402,0.876119,0.0207369
524.3,0.694827,0.877319,0.0205645
524.4,0.696248,0.878512,0.0203933
524.5,0.697667,0.879699,0.0202233
524.6,0.699082,0.88088,0.0200545
524.7,0.700495,0.882056,0.0198869
524.8,0.701906,0.883226,0.0197205
524.9,0.703314,0.88439,0.0195552
525,0.70472,0.88555,0.0193912
525.1,0.706125,0.886705,0.0192283
525.2,0.707527,0.887855,0.0190666
525.3,0.708927,0.889,0.0189061
525.4,0.710325,0.89014,0.0187467
525.5,0.711721,0.891275,0.0185884
525.6,0.713114,0.892405,0.0184314
525.7,0.714505,0.89353,0.0182754
525.8,0.715893,0.89465,0.0181206
525.9,0.717279,0.895764,0.017967
526,0.718662,0.896873,0.0178145
526.1,0.720043,0.897976,0.0176631
526.2,0.72142,0.899073,0.0175129
526.3,0.722794,0.900165,0.0173638
526.4,0.724166,0.901251,0.0172159
526.5,0.725534,0.90233,0.017069
526.6,0.726898,0.903404,0.0169233
526.7,0.72826,0.904472,0.0167787
526.8,0.729618,0.905534,0.0166351
526.9,0.730972,0.906589,0.0164927
527,0.732323,0.907638,0.0163514
527.1,0.73367,0.90868,0.0162112
527.2,0.735013,0.909716,0.0160721
527.3,0.736352,0.910746,0.0159341
527.4,0.737687,0.911768,0.0157972
527.5,0.739018,0.912784,0.0156613
527.6,0.740344,0.913793,0.0155265
527.7,0.741666,0.914794,0.0153928
527.8,0.742984,0.915789,0.0152602
527.9,0.744297,0.916776,0.0151286
528,0.745606,0.917757,0.014998
528.1,0.746909,0.918729,0.0148686
528.2,0.748208,0.919695,0.0147401
528.3,0.749502,0.920652,0.0146127
528.4,0.750791,0.921602,0.0144864
528.5,0.752074,0.922545,0.014361
528.6,0.753352,0.923479,0.0142367
528.7,0.754625,0.924406,0.0141135
528.8,0.755892,0.925324,0.0139912
528.9,0.757154,0.926235,0.0138699
529,0.75841,0.927137,0.0137497
529.1,0.75966,0.928031,0.0136304
529.2,0.760904,0.928916,0.0135122
529.3,0.762142,0.929793,0.0133949
529.4,0.763374,0.930662,0.0132786
